JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
1.94 ;1.67 ;1.72 ;1.39 ;1.61 ;1.64 ;1.33 ;1.64 ;1.92 ;1.89 ;2.00 ;1.69 
2.00 ;1.56 ;1.44 ;1.36 ;1.44 ;1.44 ;1.33 ;1.78 ;1.72 ;1.64 ;1.81 ;1.61 
1.47 ;1.44 ;1.39 ;1.28 ;1.22 ;1.22 ;1.28 ;1.22 ;1.47 ;1.67 ;1.64 ;1.47 
1.39 ;1.25 ;1.50 ;1.36 ;1.31 ;1.11 ;0.75 ;1.36 ;1.69 ;1.64 ;1.64 ;1.61 
1.58 ;1.25 ;1.44 ;1.36 ;1.53 ;1.39 ;1.44 ;1.64 ;1.69 ;1.58 ;1.56 ;1.56 
1.58 ;1.50 ;1.69 ;1.39 ;1.28 ;1.22 ;1.42 ;1.64 ;1.58 ;1.64 ;1.64 ;1.47 
1.33 ;1.33 ;1.47 ;1.36 ;1.31 ;1.39 ;1.44 ;1.47 ;1.72 ;1.72 ;1.64 ;1.69 
1.44 ;1.47 ;1.28 ;1.47 ;1.50 ;1.56 ;1.44 ;1.33 ;1.58 ;1.72 ;1.47 ;1.75 
1.67 ;1.44 ;1.44 ;1.22 ;1.44 ;1.17 ;1.39 ;1.42 ;1.69 ;0.00 ;0.00 ;0.00 

